English	Field	Amharic 
annihilation	Py	ድምሰሳ
annihilation	Py	አመታዊ
annual	Ag	ክረምታዊ
annual	Bt	ክረምት
annual march of temperature	Gg	አመታዊ ልከ ሙቀት ትመት
annual range of temperature	Gg	አመታዊ ልከ ሙቀት ልዩነት
annual ring	Bt	ክራሞታዊ ቀለበት
annualar	Py	ቀለበታዊ
annular drainagge	Gg	ቀለበታያ መትረብ
annualar eclipse	Gl	ቀለበቴ ፀሐይ ግርድሽ
annular eclipse	Py	ቀለበታዊ ግርዶሽ
annular stream	Gl	ቀለበቴ ወንዝ
annode	Ch	አነኖድ
anode	Em	አኖድ
anode	Py	አውኖድ፣አወንታ ኖድ
anomaly	Gl	መጠን አለፍ
anomaly	Py	ውዥቀት
anoreria	Me	ኢፈቂደ ምግብ
anorexia	Nu	አኖሬክሲያ
anorthosite	Gl	አኖርቶሲት
anoxica	Me	ኦክስጅን እጦት
anphylactic	Me	ወሂዝ
Antolo limestone	Gg	እንጣሎ ቅሪተምውት ድንጋይ
Antarctic circle	Gg	ደቡባዊ ከል
antecedent drainage	Gg	ቀዳሜ ትርብ
antecedent river	Gg	ቀዳሜ ወንዝ
antermeridian	Gg	ቅድመ ቀትር
antemortem	Me	ቅድመ ሞት
antenatal	Me	ቅድመ ልደት
anteenna	Em	አንቴና
antenna	Py	አንቴና
antenna	Zo	አንቴና
ante partum	Me	ቅድመ ውልጃ
anterior	Bt	ራስጌ
anterior	Me	ፊተኛ
anterior	Zo	ቀዳማይ (ግእዝ)
anterior vena cava	Zo	ቀዳማይ ዐቢይ ደም መላሽ
ante solarium	Bc	ፀሐይ ገብ ሰገነት
anther	Bt	ብናኝ አቃፊ
antheridium	Bt	ማደረባእት (ማህደረ ባእት(
anthesis	Ag	ጊዜ ፍካት
anthophyta	Bt	አንቶፋታ
anthracite	Gg	ጭልህ ከሰል
anthracite	Gl	አንትራሲት
anthrax	Ag	አበባ ሰንጋ
anthropogeography	Gg	ሰበብአ ምድረፅፍ
anthropology	Gg	ስነ ስብኣት
anthropometric measurements	Nu	ልከኬታሰብ (ሰው ልክ)
anthropometerist	Nu	ሰው ለከ
anthropometry	Nu	ልኬት ሰው
anti	Py	ጸረ
antibiotic	Bt	ፀረ ህይወት
antibiotic	Me	አንቲባዮቲክ
antibody	Me	ፀረ እንግዳ አካል
antibody	Zo	ፀረ እንግዳ አካል
antichlor	Ch	ፀረ ክሎር
anticlinal mountain	Gl	አብጣዊ ተራራ
anticline	Gl	አብጥ
anticilinorium	Gl	አብጥብጦሽ
anticline	Gg	ጉብጥ
anti-clock wish	Py	ኢሰዓትያ
anticoagulant	Ch	ፀረ ጉግለት
anticoagulant	Me	ፀረ ደም እርጋት
anticyclone	Gg	ጫን ኩርፊት
antiderivative	Ma	ኢልውጥ
antiodote	Ch	ማርከሻ
antiodote	Me	ማርከሻ
antiform	Gl	እብጦ
antifreeze	Ch	ፀረ ቀረት
antigen	Me	እንግዳ አካል
antigen	Zo	እንግዳ አካል
anti-gravity	Py	ፀረ ሰበተ-ቁስ
antihistamine	Me	ፀረ ሂሰታሚን
anti-knock	Ch	ፀረ ኳኳታ
antilogarithm	Ma	አንቲሎጋሪዝም
anti-matter	Py	ፀረ ቁስ
anti-node	Py	ኢአንጓ
antioxidant	Ch	ፀረ ወክሳጅ
anti-particle	Py	ፀረ እኑስ
anti-peristalsis	Zo	ሞገደ ትፊት
antiphyretic	Me	ፀረ ትኩሳት
antipode	Gg	ንፅፅሮት
anti-proton	Py	ፀረ ፕሮቶን
anti-resonance	Py	ፀረ ንበት
antiseptic	Me	ፀረ ሕዋሳት
antiserum	Me	ፀረእዥ
antitoxin	Bt	ፀረ ህምዝ
antitoxin	Me	ፀረ መርዝ
anti-trades	Gg	ተቃራኒ ምስራቄዎች
antrax	Me	ቁርባ
anuria	Me	ሽንተ ጠፍ
anuria	Me	ፊንጢጣ
anus	Zo	ቱሊ
anvil	Bc	መስፍ
anvil (incus)	Zo	መስፊት
anxious	Me	ጭንቀት
aorta	Me	ዐቢይ ደም ወሳጅ
aorta	Zo	ዐቢይ ደም ወሳጅ
apartment	Bc	አፓርተማ
apatite	Ch	አፓታይት
ape-man	Zo	ዝንጀሮ ሰው
aperiodic	Em	ኢክፍለ ጊዜያዊ
aperiodic	Py	ኢክፍለ ጊዜያዊ
aperture (radiator)	Em	ሽንቁር (አጭራሪ)
aperture	Py	ክፍተት
apex	Ma	ቁንጮ
apex	Me	አናት
apex	Py	አናት
aphelion	Gg	አፊሊዮን
aphelion	Gl	ሩቅ ምህዋር
aphelion	Py	ማደዶ ምህዋር (አፌለኪዮን)
aphotic zone	Gl	ብርሃን አልባ የባህር ክፍል
apical bud	Bt	ጫፍ ጓእ
apical dominance	Bt	ጫፍ ተፅዕኖ
apical meristem	Bt	ጫፍ አደግ
apiculture	AG	አንብቦ
aplite	Gl	አፕሊት
apnea	Me	አስትንፋስ አልባ
apogamy (apomixis)	Bt	ኢውስብ
apogee	Gg	ርቀ ምድር
apogee	Py	ማዶ ምሀዋር (አፓጂ)
apomixis	Ag	ጥቃልባነት
aponeurosis	Me	ሽራእ
apophyses	Gl	ተቀጥላ- ተቀጥሎች
apparatus	Ch	ቅንብረ መሣሪያ
apparatus	Py	ቅንብረ መሣሪያ
apparent	Py	መሰል
apparent magnitude	Py	መሰል ትልቀት
apparent movement	Gg	እንቅስቃሴ መሰል
apparent noon	Py	መሰል ቀትር
apparent solar time	Gg	ፀሐይ ጊዜ መሰል
apparent solar time	Gl	መሳይ ጊዜ ፀሐይ
apparent velocity	Py	መሰል ፍጥነት
apparent weight	Py	መሰል ክብደት
appearance	Ch	ገፅታ
appendage	Zo	ጥቡቅ
appendectomy	Me	ምትረተ ትርፍ አንጀት
appendicities	Me	ትርፍ አንጀት ብግነት
appendicular skeleton	Zo	ቁመና መሆር
appendix	Me	ትርፍ አንጀት ብግነት
appetite	Nu	ሞራሙሬ
appetizer	Nu	ሞርሟሪ
apple	Nu	ቱፋ
applicator	Me	መኳያ
applied	Py	ተግባራዊ
applied mathematics	Ma	ተግባራዊ ማቲማቲካ
applied physics	Py	ተግባራዊ ፊዚካ
apprximate	Ma	ማቃረብ
approximate	St	ማቃረብ (ግስ)፣ አቅራቢ
approximation	Ma	ቅርቦሽ
approximation	St	ቅርቦሽ
appulse	Py	ከፍ ፀሊማዊ የጨረቃ ግርዶሽ (ገሚስ ግርዶሽ)
apricot	Nuu	አፕሪኮች
apron	Ch	ሽርጥ
apron	Gg	ጭልህ ሜዳ
aquaregia	Ch	አኩዋሬጂያ
aquarium	Bt	መርእይ ገንዳ
aquatic	Bt	ውሃዊ
aquatic	Gl	ውሃማ
aquatic	Zo	ውሃዊ
aquatic animals	Zo	ውሃዊ እንስሳት
aquatic life	Zo	ውሃዊ ህይወት
aquatic plant	Ag	ውሃ በቀሌ ተክል
aqueous	Ch	ውሃማ
aqueous humor	Me	አይን ውሃ
aqueous humor	Zo	ውሃማ ፈሳሽ
aquiclude	Gg	ዝግማይ
aquifer	Gg	ነቅአ ማይ
aquifer	Gl	ውሃ ያዠንብር
aquometry	Ch	ውሃምተራ
arabic numeral	Ma	አራቤ አሃዞች
arable farming	Gg	ዝሪት ግብርና
arable land	Gg	እርሻ መሬት
arachidonic acid	Nu	አራኪዶኒክ አሲድ
arachnids	Zo	ሸረሪት አስተኔ
arachnoid	Me	አራዝ
arachnoid membrane	Zo	ውትር ልባስ
aragonite	Gl	አራጎኒት
aranchata	Nu	አረንቻታ
arbor	Em	ሸክዛቢያ (ሽክርክር ዛቢያ)
arboreal	BT	ዛፋደር (ዛፍ አደር)
arboriculture	Ag	ከክብካቦ ቀዛፍ
arc	Ma	ቀስት
arc	Py	ቀስት
arch	Bc	ቀስት ግንብ
arch	Gg	ጉብን
archaeology	Gg	ስሩጥንት
archegonium	Bt	ማደረንስት (ማህደረ አንስት)
archenteron	Zo	ቅድመ ክርስ
archeozoie	Gl	ጥንተ ህይወት
Archimedes's principle	Py	የአርኪሜደስ መርህ
archipelago	Gg	እጅብ ደሴት
architect	Bc	ስነ ህንፃ ምሁር
architectural ornament	Bc	ጌጠ ህንፃ
architecture	Bc	ስን ህንፃ
architrave	Bc	ክፈፍ
archway	Bc	ቅስት መሻለኪያ
Arctic circle	Gg	ሰሜናዊ ከል
Arctic circle	Gl	ሰሜናዊ ክበብ
arcuate delta	Gg	ደጋኖ ደል
area	Gl	ስፋት
area	Ma	ስፋት
area	Py	ስፋት
area diagram	St	ስፋት ግራፍ
areal strip mining	Gg	ገላጣ ቀጠና ምእደና
area samplint	St	ክልል ንሞና
areola	Me	ፅልሙተ ጡት
aresenopyrite	Gl	አረርሴኖፕሪት
arete	Gg	ሻፎ
arginine	Nu	ኦርጂኒን
arid	Gg	ከክችሌ
arithmetic	Ma	አርቲሜቲክ (ስነ ቁጥር)
arithmetic progreasion	Ma	ተደማሪ ክትትል
arithmetic scale	Gg	ልክ ክርክር
arkose	Gl	ሬልሰብራዊ ዝቅጤ ድንጋይ
arm	Me	ወርች
armature	Em	ተንቀሳቃሽ ክፍል
armature	Py	አርማቱራ
arm circumference	Nu	ክንድ ዙሪያ
arm Strip	Nu	ክንድ ዙር መለኪያ
aromatic	Ch	አሮማታዊ
array	Em	ድርድር
array	Py	ስድረት
arrow	Py	ፍላጣ (ፍላፃ)
arrow-worm	Zo	ፍላፃ ትል
arroyo	Gl	ወውሀ አልባ ሸለቆ
arterial road	Gg	አውራ መንገድ
arteriole	Me	ደቂቅ ደምሳጅ
arterioles	Zo	ንዑስ ደም ወሳጅ
artery	Me	ደም ወሳጅ ቧንቧ
artery	Zo	ደም ወሳጅ
artesian basin	Gg	አርቷ ዋዲያት
artesian water	Gl	ገፍቶ ወጥ ውሃ
artesian well	Gg	አርቷ ጉድጓድ
arthritis	Me	አንጓ ብግነት
arthropods	Zo	ጋጥመ-ብዙ
articular cartilage	Zo	ጋጥማዊ ልምአፅም
articular membrane	Zo	ልባድ-አጥቅ
articular process	Zo	አጋጥም
artificial	Me	ኢተፈጥሮአዊ
artificial	Py	አርቲፊሴል
artificial	Zo	ኢተፈጥሮአዊ
artificial classification	Bt	ኢተፈጥሮአዊ ምደባ
artificial feeding	Nu	አርቲፊሻል አመጋገብ
artificial incubation	Ag	ፍልልስማስ ተፍ
artificial insemination	Ag	ፍልስም ጥቅ
artifical insemination	Zo	ኢተፈጥሮአዊ ዝሮሽ
artificial parthenogenesis	Zo	ኢተፈጥሮአዊ ኢፅንሳዊ መራቦ
artificial radio activity	Py	አርተፊሴል ሬዲዮ አክቲቭነት
artificial respiration	Bt	ኢተፈጥሪአዊ ትንፈሳ
artificial respiration	Zo	ኢተፈጥሮአዊ ትንፈሳ
artificial selection	Zo	ኢተፈጥሮአዊ ምርጦሽ
aryl	Ch	አሪል
asbestos	Bc	አስቤስቶስ
asbestos	Ch	አስቤስቶስ
asbestos	Em	አስቤስቶቶ
asbestos	Gg	አስቤስቶስ
asbestos	Gl	አስቤስቶስ
asariasis	Me	አሻቃቢ ደንዳኔ
ascaris	Zo	ወስፋት
ascending colon	Me	አሻቃቢ ደንዳኔ
ascending colon	Zo	ሽቅቦሽ ደንዳኔ
ascending infection	Me	አሪጊ አልከፈት
ascending order.	Ma	አሸቃቢ ሰርዓት
ascending tubule	Zo	ሽቅቦሽ ቱቦ
ascites	Me	ቅምጠ ውሃ
ascomycetes	Bt	አስኮማሴት
ascorbic acid	Nu	አስኮርቤክ አሲድ
aseptic	Me	ማክሮባልባዊ
asexual	Ag	ኢሩካቤያዊ
asexual reproducation	Ag	ኢሩካቤያዊ መራቦ
asexual reproducation	Zo	ኢጾታዊ መረቦ
ash	Ag	አመድ
ash	Gl	አመድ
ash	Nu	አመድ
ash cone	Gg	እምቅ ቅንብብ
ashlar	Bc	ጥርብ ድንጋይ
ashlar facing	Bc	ፈጤ ጥርብ ድንጋይ
aspartic acid	Nu	ስፓርቲክ አሲድ
aspect	Gg	ዝምበላ
asphalt	Bc	ቀጥራሜ
asphyxia	Me	መታፈን
aspirate	Ch	መሳብ
aspiration	Ch	ስበት
aspiration	Me	መምጠጥ
aspiration	Me	ትንታ
aspirator	Ch	ሳቢ
aspirator bottle	Ch	ባለጡት ጠርሙስ
assay (to)	Ch	መመጠን
assay	St	ነንጥረ ጥናት
assaying	Ch	ምጠና
assemble (to)	Ch	መገጣጠም
assemble	Em	መገጣጠም
assembler	Em	ሰብሳቢ
assembling	Ch	ገጠማ
assembly	Ch	መገጣጠሚያ፤ ስብስብ
assembly	Gh	ማሳበሪያ
assemble drawing	Em	ማገጣጠሚያ ንድፍ
assembly language	Em	መሰብሰቢያ ቋንቋ
assignable cause	St	ትውቅ ምክንያት
assimilation	Ag	ውህድና
assimilation	Bt	ውስጠት
assimilation	Gg	ውህደት
assimilation	Gl	ውህደት
assimilation	Nu	ውህደት
associated liquid	Ch	ጉድን ፈሳሽ
association	Ch	ጉድነት
association	St	ጉድነት
association neuron	Zo	አጓዳኝ ህዋስነርቭ
asssoiciative	Py	እብሪታዊ
associative property	Ma	አጓዳኝ ባህሪ
assume	Ma	እመንታ ማድረግ
assumption	Ma	እመንታ ማድረግ
astable	Em	ርታቴለሽ
astoroid	Gl	ኮከብ መሰል
asteoids	Gg	ንዑሳን ፕላኔቶች
asthenosphere	Gg	ድኩም ከባቢ መሬት
asthenosphere	Gl	ልል ግዑዝ ክበብ
asthma	Me	አስም
astigmatic	Py	ብዥብዥታዊ
astigmatisum	Py	ብዥብዥታ
astigmatism	Zo	ብዝብዝታ
astral ray	Zo	ኮከቤ
astoid	Py	አስትሮይድ
astoid bnlet	Py	የአስትሮይድ ሱቅ
astology	Gg	ጥበብ ፈለግ
astrology	Py	አስትሮሎጂ (ቅማሬ ከዋክብት)
astonaut	Py	አስትሮኖት
astronautics	Py	አስትሮኒቲካ
astronomer	Gl	ፈላኪ (ሰነፈለክ አጥኚ)
astronomy	Gg	ስነ ፈለክ
astronomy	Gl	ስነ ፈለክ
astronomy	Py	አስትሮኖሚ
astrophysics	Py	አስትሮፊዚካ
asymetric	Ch	ኢምጥጥናዊ
asymmetrical	St	ኢሚዛናዊ
asymmetrical fold	Gg	ስብጥር ቅልብሽ
asymmetry	Me	ኢክክል
asymmetry	Py	አልድልድለት
asymmetry	St	ኢሚናዊነት
asymptote	Ma	ጥጉ አይነኬ
asymptote	Py	አሲምቶት
asynchronous	Em	ኢተስማሚ
atlas	Gg	አትላስ
atlas	Mae	መቅረዝ
atlas	Zo	አትላስ
atmometer	Py	አትሞ ሜትር
atomosphere	Gg	ከባቢ አየር
atmosphere	Gl	ከባቢ አየር
atmosphere	Py	ከባቢ አየር (አትሞስፌር)
atmospheric density	Py	ከባቢ አየር እፍጋት
atmospheric pressure	Gg	ከባቢ አየር ግፊት
atmospheric pressure	Py	የከባቢ አየር ግፊት
atmospheric refraction of light	Py	ከባቢ አየራዊ የብርሃን ስብረት
atoll	Gg	ጋሜ ደሴት
atoll	Gl	ክብ ሪፍ
atom	Gl	አቶም
atom	Py	አቶም
atomic	Py	አቶማዊ
atomic bomb	Py	የአቶም ቦምብ
atomic energy	Ch	አቶማዊ ጉልበት
atomic energy	Py	አቶማዊ ጉልበት
atomic fission	Ch	አቶማዊ ብትነት
atomicity	Ch	አቶማዊ ብዛት
atomicity	Ch	አቶማዊ ኑክለስ
atomic nucleus	Ch	አቶማዊ ቁጥር
atomicity	Ch	አቶማዊ ቁጥር
atomic nucleus	Ch	አቶማዊ ምህዋሪት
atomic number	Ch	አቶማዊ አከባቢ
atomic number	Py	አቶማዊ ቁጥር
atomic orbital	CH	አቶማዊ ምህዋራት
atomic radius	Ch	አቶማዊ አከባቢ
atomic structure	Ch	አቶማዊ መዋቅር
atomic volume	Ch	አቶማዊ ስፍረት
atomic weight	Ch	አቶም ክብደት
atomic wight	Py	አቶማዊ ክብደት
aomization	Ch	ጋዛቶምነት
alom smasher	Py	አቶምአድቃቂ
ATP	Bt	ኤ.ቲ.ፒ
ATP (adenosine triphosphate)	Nu	ኤ.ቲ.ፒ
atrium	Bc	አጥሪየም
atrium	Me	ደምላሽ (ደም መላሽ) ገንዳ
atrium (auricle)	Zo	ተቀባይ ልብገንዳ
atrophy	Me	ስልላት
attenuated	Me	ፅማዊ
attenuation	Py	እጠጣ
attenuation coeffcient	Py	የእጠጣ ጠቋሚ
attenuation constant	Py	የእጠጣ ኢተለዋዋጭ
attenuator	Py	የሚያጥጥ
attic	Bc	ቀጤክፍል
attraction	Em	ስበት
attraction	Py	ስበት
attribute	St	አይነታ
attribute process control	St	አይነታ ሂደት ቁጥጥር
attribute testing	St	አይነታ ፍተና
attrition	Gg	ምንማኔ
atypical	Me	ኢልሳዳዊ
audio frequency	Py	ተደማጭ ዝውተራ
audiometr	Gg	ስመት ሜትር
auditorium	Bc	ሰብሰባ አዳራሽ
audiotry	Me	ሰማህታዊ
auditory	Py	አዳማጭ
auditory capsule	Zo	ሰማታዊ ቀለህ
auditory nerve	Py	አዳማጭ ነርቭ
auditory nerve	Zo	ሰማታዊ ነርቭ
auger mining	Gg	ቦርቡሬ ምዕደና
augite	Gl	ኦጂት
aurora	Py	አውሮራ
aurora australis	Gg	ደቡብ ንፍቀ ክብ-ጎን
aurora borealis (northern lights)	Gg	ሰሜን ንፍቀ ክብ-ጎህ
ausculation	Ag	ዳመጣ
ausculatation	Me	ማዳመጥ
Australopithecus	Zo	አውስትሮሎፒተከስ
authigenci	Gl	አካባቢያዊ ልውጥ
autochtonous	Gl	ነባር
autoclae	BT	አንፋሪ
autoclave	Ch	ማሙከኪያ
autoclave	Me	መሳመዝ
autocorrelation	St	እርስ በርስ ተዛምዶ
autogamy	Ag	ወስበረስ (ወሰበ-ርዕስ)
auto-inhibition	Bt	ራስ ግታት
autoinnoculation	Me	ውስጣዊ ክትባት፣ ራስ ክትባት
automatic	Me	አቶሚቲክ
automatic	Py	አወቶማቲክ
automatic burette	Ch	አወውቶማቲክ ማጥነኛ
automatic nervous system	Zo	አይገዜ ስርዓተ ነርቭ
automatic wrench	Em	አቶማቲክ መፍቻ
auto metamorphism	Gl	ግሌ ሜታሞርፊዝም
automorphism	Ma	አቶሞርፊዝም
autonomic	Me	አቶኖሚክ
autopsy	Me	ሬሳ ምርመራ
autosomal chromosome	Zo	ኢፆታዊ ሀብለበርሂ
autotomy	Zo	ረስ ጉምጃ
autotroph	Bt	መምግበ ሰር
autotrophic	Bt	ምግበሰሬ
autotrophism	Bt	ምግበሰርነት
autumn	Gg	መፀው
autumnal equinox	Gg	መፀው እኩለ ቀን
auxiliary view	Bc	ሰያፍ ገፅታ
auxin	Bt	አክሲን
auxins	Ag	ድካድገት
auxochrome	Ch	ረዳት ምንጨ ቀለም
avalanche	Gg	ፋጫ ናዳ
avalanche	Gl	ናዳ
avalanche	Py	ናዳ
average	St	መካይ
average life time	Py	አማካይ ዕድሜ ልክ
aves (birds)	Zo	አእዋፍ
avitaminosis	Bu	ቫይታሚን ማነስ
Avogadro's number	Ch	የአቮጋድሮ ቁጥር
Avogadro's hypthesis	Py	የአቮጋድሮ መላምት
awl (bradawi)	Em	ወሳፍቻ
awn	Ag	ምርቅ
awn	Bt	ምርቅ
awnless	Bt	ምርቃልባ (ምርቅአልባ)
axe	Bc	ምሳር
axel	Py	ዘንገ ሽክርክሪት
axial force	Bc	ሃይለምሽዋር
axial plane	Gl	ምህዋ ጠለል
axial rift	Gl	ምህዋረ ስምጥ
axial skeleton	Zo	ዘንጓዊ አፅም
axil	Ag	ተክሉስክምት
axilla	Me	ብብት
axiom (postulate)	Ma	እሙን
axis	Gg	መሬት ዘንግ (እንዝርት)
axis	Gl	ምህዋረር
axis	Ma	አክሲስ (አመልካች መስመር፣ ምሽዋር)
axis	Me	ተራዳ
axis	Py	ዘንገጎ (ምሽዋ)
axis	Zo	ዘንጎ አጥንት
axis of a cone	Ma	የኮን አክሲስ
axis of a conic section	Ma	ኮናዊ ቁርጦ አክሲስ
axis of fold	Gl	ምህዋረ እጥፈት
axis of rotation	Ma	አሽክርክር አክሲስ
axis of rotation	Py	የሽከርክረት ዘንጎ
axis of symmetry	Ma	የምጥጥን አክሲስ
axis vertabera	Zo	ዘንጎ ድንደስ
axle	Em	ዘንግ
axon	Me	ዘንገ ነርቭ
axon	Zo	ዘንገ ሕዋስ ነርቭ
azeotrope	Ch	አብሮ ተናኝ
azimuth	Gg	እዚሙጥ
azimuth	Py	እዚመት
azimuthal projection	Gg	አዚሙጣዊ ትይታ
azonal soil	Gg	አንድወጣፈር
bacillary dysentry	Me	በሲላዊ ተቅማጥ
bacillus	Bt	ዘንግማ  ባክቴሪያ
bacillus	Me	በባሲለስ
back	Ag	ጀርባ
back bone	Zo	ደንደስ
back cross	Ag	ግርምቢጥ ድቀላ
back electromotive force	Py	ቀልባሽ ኤሌክትሮ ግፊያዊ ሃይል
back extraction	Ch	መልሶ ውጣት
backfill	Bc	ምልስ
back firing	Em	ምልስ ንደት
back flow	Bc	አሆልሁዋል ፍሳሽ
background	Gg	ኋሌ (ዳራ)
background	Py	ዳራ
background radiation	Ch	ዳራዊ ውካታ
back pressure	Em	ተቃራኝ ግፊት
back saw	Bc	ጠንካራ መጋዝ
backset bed	Gl	ኋሎሽ መደብ
aback shore	Gg	ኋሌ ባርዳር (ባህር ዳር)
backshore	Gl	ኋሎሽ ባህር ዳርቻ
back sight	BC	ጀርባይን
back stope (of cuesta)	Gg	ኋሌ ግድለት (የጉቤ)
back swamp	Gl	ኋሎሽ ረግረግ
back titration	Ch	መልሶ ጥነት
back wash	Gg	ኋሌ ችችር
back yard gardening	Ag	ጓሮትክሎሽ
bacon	Nu	አሣማ ቋንጣ
bacteria	Bt	ባክቴሪያ
bacteria	Me	ባክቴሪያ
bactericidal	Me	ቅቃሌ ባክቴሪያ
bactericide	Ch	ፀረ ባክቴሪያ
bacteriology	Bt	ስነ-ባክቴሪያ
bacteriology	Me	ባክቴሪዮሎጂ
bacteriology	Bt	ባክቴበል (ባክቴሪያ በል)
bacteriology	Me	ገዳቢ ባክቴሪያ
badlands	Gg	አረንዛ መሬት
badlands	Gl	ለምያልሆነ ወጣ ገባ መሬት
bahada	Gg	ክምቹ ደለል
bake	Nu	መጋገር
baking powder	Ch	አቡኪ ዱቄት
baking powder	Nu	አሽግ እርሾ
balance	Ch	ሚዛን
balance (to balance an equation)	Ch	ማመጣጠን
balance beam	Ch	የሚዛን አግዳሚ
balance of forces	Py	የሃይላት ሚዛን
balanced diet	Me	የተመጣጠነ ምግብ
balanced diet	Nu	የተመያየነ ምግብ
balanced equation	Ch	የተመጣጠነ እኩልታ
balanced ration	Ag	የተመጣጠነ መቁነን
balance pan	Ch	የሚዛን ሳህን
balance pointer	Ch	የሚዛን ምላስ
balance scale	Ch	ትዕምርተ-ክብደት
balancing	Ch	ምዘና፣ ምጥጥን
balcony	Bc	ሠገነት
ball and socket	Me	እሩርና ማሻ
ball and socket joint	Zo	አሉሎ ሰክ
ball bearing	Em	ብይኩሽኔታ
ballistic	Py	ተስፈንጣሪ
ballistic galvanometer	Py	ተስፈንጣሪ ጋልቫኖሜትር
ballistic missile	Py	ተስፈንጣሪ ሚሳይል
ballistic pendulum	Py	ተስፈንጣሪ ዥውዣዌ
ballistics	Py	ስነ ተስፈንጣሪ (ቦሊስቲካ)
ball joint	Em	ኳስ ሙላት
balloon	ch	ፈኛ
balloon	Py	ንፎ
balloon sonde	Gg	ንፋ ማሰሚያ
ball type stop valve	Em	ኳስ ክፍክድ
balmer lines	Py	ባልመር መስመሮች
balmer series	Py	የባልመር ሴሪ
baluster	Bc	ወሳንሴ
banana	Nu	ሙዝ
banana juice	Nu	ሙዝ ጭማቂ
band	Me	ሠቅ
band	Py	ጥበብጣብ
band-pass	Py	ጥብጣብ አሳላፊ
band-pass filter	Em	ክልል ፍሪቀንሲ አጥላይ
band saw	Em	መቀነት መጋዝ
band spectrum	Py	ጥብጣብ ስፔክትረም
band width	Em	ክልል ስፋት
band width	Py	የጥብጣብ ስፋት
bandage	Me	ፋሻ
banded	Gl	ንብብሮሽ
banded iron formation	Gl	ብረት አዘል ንብብር
banding	Ag	ትበታ
bank (of a river)	Gg	ቃሊም (የወንዝ)
